locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
126936,1,2,,1.97,1.88,1.86,1.37,1.15,0.88,0.97,0.48,3.6,3.9,4.3,4.3,7.6,7.6,0,2.7,70,72,82,99,246,247,0,87,2.3,1.9,2.1,1.5,0.8,0.1,0,0.4
127229,3,4,,4.53,4.3,3.52,4.99,3.53,3.31,2.52,3.49,6.3,6.3,6.3,12.3,9.3,9.3,9.3,6.9,93,93,94,201,202,212,212,94,4.5,4.3,3.5,3.3,3.1,2.4,2.5,2.9
127509,10,11,,10.08,10.52,11.4,10.94,9.08,10.24,10.11,9.72,10.2,10.2,11.2,11.2,5.7,5.7,5.7,5.2,49,48,49,49,352,353,352,350,9.8,10.2,10.1,9.7,2.6,2.7,2.6,2.5
127567,0,1,,3.2,3.2,2.69,2.3,2.2,2.31,1.69,1.36,5.2,5.2,5.2,2.9,6.9,7.6,7.6,7.6,298,302,305,228,24,20,20,22,3.2,3.6,2.2,1.8,1.8,1.2,1.3,1.4
127694,2,3,,3.56,2.87,2.1,1.61,2.69,1.91,1.14,0.61,5.7,5.7,5.7,5.2,0,0,0,0,295,292,291,291,0,0,0,0,4.1,3,2.2,1.6,0,0,0,0
127695,,,,3,2.99,2.78,2.42,2.02,2.06,1.82,1.42,4.3,4.3,4.3,3.9,3.6,5.2,3.6,3.6,328,330,331,335,15,40,15,15,3.1,3.2,2.8,2.3,0.5,0.6,0.5,0.5
127696,1,2,,3.02,1.84,1.07,1.92,2.11,0.87,0.07,0.92,6.3,7.6,7.6,3.2,3.2,5.2,4.7,2.9,245,241,248,36,313,237,228,354,3.3,1.4,0.9,1.6,0.6,1,0.5,0.9
127813,,,,3.04,3.02,2.49,1.83,2.04,2.02,1.49,0.83,4.7,4.7,6.9,6.9,6.9,6.9,4.7,4.3,314,320,20,19,360,20,321,329,2.3,2.4,1.6,1.4,1.4,1.5,1.6,0.9
128083,1,2,POOR,1.06,1.06,0.98,0.93,0.06,0.06,0,0,13.5,13.5,13.5,12.3,10.2,11.2,11.2,11.2,198.0,198.0,197.0,197.0,285.0,285.0,285.0,285.0,0.9,1,1,0.9,0.6,0.6,0.6,0.6
128357,1,2,,1.06,2.05,1.97,2.06,0.06,1.16,0.97,1.06,2.4,3.9,4.3,4.7,8.4,7.6,6.9,2.7,187.0,212.0,213.0,210.0,215.0,213.0,209.0,230.0,0.9,2.2,1.9,2,0.6,0.6,0.4,0.5
128361,0,1,,1.7,1.22,0.61,0.16,0.7,0.35,0,0,5.2,4.3,3.9,3.6,2.7,2.9,0,0,261,277,283,292,287,263,0,0,1.7,1.4,0.7,0.2,0.4,0.2,0,0
128363,0,1,,1,0.65,0.39,0.28,0.12,0,0,0,5.2,5.2,5.2,4.7,3.2,0,0,0,227,226,226,224,222,0,0,0,1.1,0.7,0.5,0.3,0.4,0,0,0
128365,,,,0.07,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
128366,,,,0.42,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
128533,1,2,,2.61,2.39,1.74,1.21,1.76,1.54,0.85,0.21,4.3,4.7,4.7,4.3,0,0,3.6,3.2,273,269,260,249,0,0,322,317,3.1,2.8,1.8,1.1,0,0,0.7,0.6
128911,2,3,,3.55,3.36,3.83,4.84,2.56,2.36,2.73,3.76,6.9,6.9,12.3,12.3,10.2,9.3,6.9,6.9,105,107,200,199,178,206,106,106,2.8,2.6,2.7,3.8,1.5,1.5,2.3,2.1
128959,0,1,,1.12,1.3,1.23,1.14,0.12,0.39,0.33,0.14,7.6,6.9,6.9,6.3,0,0,0,0,270,269,270,271,0,0,0,0,1.1,1.4,1.4,1.1,0,0,0,0
129505,2,3,,3.45,3.78,4.04,3.97,2.45,3.35,3.36,3.24,7.6,7.6,7.6,7.6,14.9,13.5,13.5,12.3,188,188,188,188,217,219,219,219,3.2,3.4,3.4,3.4,1.5,2,2.4,2.6
129661,1,2,very poor,1.42,1.85,1.92,1.84,0.42,0.91,0.99,0.85,8.4,6.3,6.3,6.3,4.3,8.4,10.2,10.2,118,205,206,209,217,125,115,114,1,1.7,1.8,1.6,0.8,0.8,0.9,0.8
129680,5,6,,3.96,3.76,3.88,3.6,2.9,2.93,2.88,2.83,5.7,5.7,6.3,6.3,5.7,5.2,5.7,12.3,34,351,350,351,351,35,39,305,2.9,3,3,2.8,2.8,3,2.8,2.3
129699,3,4,,3.35,3.03,3.66,4,2.35,2.19,2.93,3.17,8.4,8.4,8.4,8.4,5.2,5.2,13.5,13.5,170,168,180,186,197,199,215,215,2.1,2.2,2.9,3.3,1.5,1.8,2,2.3
129960,5,6,,5.54,5.64,5.77,6,4.54,4.65,4.79,5.01,6.3,6.3,6.3,6.3,9.3,9.3,9.3,9.3,68.0,69.0,68.0,67.0,58.0,62.0,64.0,60.0,5.5,5.7,5.8,6.1,1.9,2.3,2.2,1.9
130197,0,1,,0.87,1.01,0.88,0.69,0,0.04,0,0,3.2,4.3,4.3,3.9,0,2.4,2.4,0,263,271,271,266,0,237,242,0,0.9,1,0.9,0.7,0,0.4,0.3,0
130559,1,2,POOR,1.22,1.4,1.48,1.4,0.22,0.4,0.48,0.4,11.2,13.5,13.5,13.5,13.5,11.2,11.2,11.2,284.0,194.0,193.0,192.0,193.0,284.0,285.0,285.0,0.7,0.8,0.9,0.9,0.7,0.7,0.7,0.8
130569,4,5,,4,4.5,4.8,4.77,2.92,3.69,3.84,3.88,8.4,8.4,8.4,8.4,13.5,12.3,12.3,12.3,157.0,169.0,166.0,166.0,211.0,211.0,213.0,212.0,2.9,3.7,3.9,4,2.3,2.7,2.5,2.5
130579,,,FLAT,1.54,1.47,1.42,1.4,0.54,0.47,0.42,0.4,8.4,8.4,8.4,8.4,5.2,5.7,0,0,101,104,106,105,122,117,0,0,1.8,1.9,1.9,1.9,1,0.7,0,0
131234,2,3,,2.78,2.73,2.44,2.11,1.78,1.88,1.44,1.24,6.3,6.3,6.3,5.7,3.2,3.9,3.9,4.3,284.0,279.0,273.0,275.0,314.0,130.0,129.0,121.0,1.9,3.2,2.3,1.9,1.9,0.5,0.7,1.5
